target_themes,target_rating,fen,is_legal,is_puzzle,counter_intuitive,actual_themes,predicted_rating,themes_match
"['endgame', 'hangingPiece', 'mate', 'mateIn1', 'oneMove']",892.0,Q4nk1/1R3pp1/2p4p/p4B2/8/P7/5PPP/2q1R1K1 b - - 0 36,True,True,False,"['endgame', 'mateIn1', 'mate', 'hangingPiece', 'oneMove']",616.82861328125,True
"['endgame', 'mate', 'mateIn2', 'short']",1010.0,6k1/6pp/Q7/3p1p1q/P2PpP2/6B1/1r6/3RR1K1 b - - 2 42,True,False,False,,,
"['advantage', 'discoveredAttack', 'master', 'middlegame', 'short']",1706.0,6k1/p4pb1/1rp1pqp1/N4b2/2RPn1R1/1B2PQ2/PP3P2/2K5 b - - 4 32,True,False,False,,,
"['advantage', 'intermezzo', 'middlegame', 'short']",1546.0,2r1kb1r/1p1n1ppp/p3N3/8/8/2Nn1P2/PPP3PP/R1B2K1R b k - 0 16,True,False,True,,,
"['mate', 'mateIn1', 'middlegame', 'oneMove']",1255.0,r4rk1/p1p1qpp1/1p2p2p/7P/3PQ1n1/3B1b2/PPP2PP1/R4RK1 w - - 0 16,True,True,False,"['middlegame', 'mateIn1', 'mate', 'oneMove']",735.661865234375,True
"['endgame', 'mate', 'mateIn2', 'short']",1187.0,3r4/pp6/2pb3p/3nN1pk/1P1P1p2/2P3PP/3B1P2/4R1K1 w - - 0 31,True,False,False,,,
"['backRankMate', 'endgame', 'mate', 'mateIn2', 'short']",522.0,4r1k1/p3r1pp/2p5/5R2/B2P1B2/2P5/P4PPP/R5K1 b - - 0 23,True,True,False,"['endgame', 'mateIn2', 'mate', 'backRankMate', 'short']",622.4426879882812,True
"['advantage', 'fork', 'master', 'middlegame', 'short']",995.0,r2qk2r/pp3pp1/4b3/3pPpP1/1b1P3p/2N5/P4P1P/R1BQK2R w KQkq - 1 15,True,True,False,"['middlegame', 'advantage', 'fork', 'short']",1236.5164794921875,True
"['advantage', 'discoveredAttack', 'endgame', 'long', 'quietMove']",2084.0,r5k1/p5p1/1p2q2p/3r4/2Q2p2/P7/1P3PPP/2RR2K1 b - - 3 30,True,True,False,"['endgame', 'crushing', 'discoveredAttack', 'short']",992.8500366210938,False
"['backRankMate', 'endgame', 'mate', 'mateIn1', 'oneMove']",1211.0,5r1k/p5pp/bp1Np3/3pP3/P1nP4/8/1P4PP/5RK1 w - - 0 25,True,True,False,"['endgame', 'mateIn1', 'mate', 'backRankMate', 'hangingPiece', 'oneMove']",737.4830322265625,True
"['kingsideAttack', 'mate', 'mateIn2', 'middlegame', 'sacrifice', 'short']",1395.0,r1b2rk1/pp2nppp/2p5/2n1p2Q/4N3/3B4/PPPq2PP/R4RK1 w - - 0 14,True,False,False,,,
"['advantage', 'intermezzo', 'opening', 'short']",1771.0,r1bqr1k1/5ppp/p2p4/2pP3n/1pP1n2N/8/PPB2P2/R1BQR1K1 w - - 0 21,True,True,False,"['middlegame', 'advantage', 'hangingPiece', 'long']",1923.012939453125,False
"['advantage', 'endgame', 'knightEndgame', 'short']",2070.0,8/8/P1k4p/1p3pp1/1P2n3/4N1P1/3p1P1P/5K2 b - - 0 46,True,False,False,,,
"['attraction', 'crushing', 'kingsideAttack', 'middlegame', 'sacrifice', 'short']",1757.0,2r2rk1/3n1ppp/p3p3/3p4/1p5P/3B1q2/PPPQ1P2/1K1R2R1 w - - 5 22,True,True,True,"['middlegame', 'crushing', 'attraction', 'sacrifice', 'veryLong']",2260.64453125,True
"['advantage', 'endgame', 'short']",1513.0,2kr1r2/1p6/5P2/p1pB2Q1/P1P5/1P1PPRpq/4P3/6K1 b - - 0 35,True,False,False,,,
"['attraction', 'doubleCheck', 'mate', 'mateIn2', 'middlegame', 'sacrifice', 'short']",1941.0,r5rk/pp1n4/2p1p2B/3pPqNQ/3P3P/4P3/PP1K4/8 w - - 0 25,True,False,False,,,
"['crushing', 'endgame', 'quietMove', 'short']",1496.0,3r3k/pp6/8/2p1ppr1/8/P1PPR1Pn/1P1N1R1K/8 b - - 1 40,True,False,False,,,
"['mate', 'mateIn1', 'middlegame', 'oneMove']",1187.0,r2q1knr/5b1p/p1pp4/1pn1bNQ1/4P1B1/P1N5/1PP3PP/1R2B1K1 w - - 0 22,True,False,False,,,
"['kingsideAttack', 'mate', 'mateIn1', 'oneMove', 'opening']",552.0,r1bq1rk1/ppp1nppp/4p3/3p4/1n1P1P1P/3QPN2/PPB5/RN2K2R w KQ - 3 13,True,True,False,"['opening', 'mateIn1', 'mate', 'kingsideAttack', 'oneMove']",632.6487426757812,True
"['crushing', 'defensiveMove', 'endgame', 'long', 'quietMove', 'rookEndgame']",2948.0,8/8/1R6/2K2ppp/1p4k1/8/8/8 b - - 1 60,True,False,False,,,
"['endgame', 'mate', 'mateIn2', 'short']",986.0,6k1/4Rp1p/q5p1/8/6Q1/5NP1/5PKP/1r6 b - - 4 34,True,True,False,"['endgame', 'mateIn1', 'mate', 'oneMove']",999.872802734375,False
"['crushing', 'defensiveMove', 'endgame', 'long', 'rookEndgame']",1527.0,8/p7/1p6/6k1/7R/P1r2P1K/8/8 b - - 0 41,True,False,False,,,
"['advantage', 'kingsideAttack', 'middlegame', 'veryLong']",2351.0,5rk1/1p2b2p/p2p2p1/2pP4/2P1P1n1/3n1qPb/PBQ1R1B1/1R1N1NK1 b - - 8 29,True,False,False,,,
"['advantage', 'long', 'middlegame', 'skewer']",1161.0,k1b4r/p1p1R3/3p3q/p2P2p1/Q1P2p2/2NB4/5PPP/6K1 b - - 1 25,True,False,False,,,
"['crushing', 'fork', 'middlegame', 'sacrifice', 'veryLong']",2176.0,3r2k1/pb3pp1/5q1p/3BN3/2N3n1/2PQ2P1/PP3P1P/3R2K1 b - - 0 22,True,False,False,,,
"['advantage', 'attraction', 'fork', 'long', 'middlegame', 'sacrifice']",1265.0,7k/ppr1npb1/5N1p/6pP/1r3p2/8/1P2RBP1/1K4R1 w - - 6 29,True,False,True,,,
"['advantage', 'discoveredAttack', 'middlegame', 'short']",1063.0,r1b1k2r/ppp2ppp/8/3P4/2P2P1q/P3B1n1/4BQPP/R3K2R b KQkq - 0 19,True,False,False,,,
"['advantage', 'defensiveMove', 'middlegame', 'pin', 'sacrifice', 'veryLong']",2799.0,4r1k1/2p2p1p/1p1p2p1/1PbP4/2P4q/2Qp1P1P/3Nr1P1/R1B2R1K b - - 0 30,True,False,True,,,
"['advantage', 'long', 'middlegame']",1648.0,r3k2B/pp2q2p/2bp1n2/4pp2/1Q6/2N5/PPP2KPP/R6R b q - 4 19,True,False,False,,,
"['endgame', 'master', 'mate', 'mateIn2', 'rookEndgame', 'short']",1458.0,5k2/2R5/4pKp1/p3P3/5P2/2pr4/8/8 w - - 0 56,True,True,False,"['endgame', 'mateIn2', 'mate', 'rookEndgame', 'short']",859.0697021484375,True
"['kingsideAttack', 'mate', 'mateIn2', 'middlegame', 'short']",1377.0,b1r1r1k1/3q1p1p/5n2/p1p2N2/P2p4/5Q2/1B3PPP/R3R1K1 w - - 1 24,True,False,False,,,
"['crushing', 'discoveredAttack', 'middlegame', 'short']",1211.0,r3k2r/ppp2pp1/2nb2qp/3Q4/3P4/2P5/PP1NPPPP/R3KB1R b KQkq - 0 14,True,False,False,,,
"['master', 'mate', 'mateIn1', 'middlegame', 'oneMove']",1383.0,7k/1Bn4p/P1Pp2p1/5b2/2K5/1QR3nP/1P6/R5q1 b - - 9 44,True,True,False,"['middlegame', 'mateIn1', 'mate', 'oneMove']",1372.029541015625,True
"['endgame', 'hangingPiece', 'master', 'mate', 'mateIn1', 'oneMove', 'queensideAttack']",442.0,1k1r4/ppp3pp/4p3/3p2Q1/8/2qB3P/2P2PP1/1b4K1 w - - 0 24,True,True,False,"['endgame', 'mateIn1', 'mate', 'hangingPiece', 'queensideAttack', 'oneMove']",656.4368896484375,True
"['mate', 'mateIn1', 'middlegame', 'oneMove']",1183.0,2Q2r2/3B2bk/pB2Q3/4p2p/6q1/P4p2/6PP/5RK1 b - - 0 37,True,True,False,"['middlegame', 'mateIn1', 'mate', 'oneMove']",1168.8575439453125,True
"['attackingF2F7', 'mate', 'mateIn1', 'oneMove', 'opening']",1289.0,rnb1kb1r/pp3ppp/2p5/4q1B1/2B3n1/8/PPP3PP/RN1Q1RK1 w kq - 0 10,True,True,False,"['opening', 'mateIn1', 'mate', 'attackingF2F7', 'oneMove']",1217.0311279296875,True
"['crushing', 'fork', 'long', 'middlegame']",1151.0,1r1q1rk1/pp2ppbp/3p1n1p/3N1b2/8/1P2PB2/PBPP2PP/1R2QRK1 b - - 4 15,True,False,False,,,
"['kingsideAttack', 'long', 'mate', 'mateIn3', 'opening', 'sacrifice']",2046.0,r1bqr1k1/pp2b1p1/2n1pnN1/3p3Q/3P4/2P3BP/PP3P2/RN2K2R w KQ - 3 15,True,False,True,,,
"['endgame', 'mate', 'mateIn4', 'veryLong']",1416.0,5r1k/pPp3pp/3b4/8/2B5/7P/PP4P1/R1B3K1 b - - 0 21,True,False,False,,,
"['attackingF2F7', 'mate', 'mateIn1', 'middlegame', 'oneMove']",483.0,3rkb1r/pp3p1p/3q3p/2pPp3/4P3/8/PPP2QPP/RN3RK1 w k - 2 14,True,False,False,,,
"['advantage', 'long', 'opening']",1432.0,r1br1nk1/pp2bppp/1q2p2p/4P1N1/4B3/7Q/PPP2PPP/R1B2RK1 b - - 1 15,True,False,False,,,
"['kingsideAttack', 'mate', 'mateIn2', 'middlegame', 'short']",737.0,1r2r2k/6pp/2p2p2/3p4/pB1P1Qn1/P1P3Pq/4R3/4R1K1 w - - 0 37,True,False,False,,,
"['mate', 'mateIn2', 'middlegame', 'short']",1865.0,r7/pb2ppkB/1p1p1q2/3Pn1N1/2P4Q/8/P5PP/b4R1K w - - 9 29,True,False,False,,,
"['advantage', 'kingsideAttack', 'master', 'middlegame', 'short']",1345.0,3r2kr/4qp2/p3b1pp/4p3/2p1N3/2P1Q2R/P5PP/5RK1 w - - 2 24,True,True,False,"['middlegame', 'advantage', 'discoveredAttack', 'kingsideAttack', 'short']",1246.3782958984375,True
"['kingsideAttack', 'master', 'mate', 'mateIn1', 'middlegame', 'oneMove']",1084.0,r1b2r1k/pp4bp/3p2P1/q3p3/1n1p4/1Q1B4/PPP2PP1/2KR3R w - - 0 19,True,True,False,"['middlegame', 'mateIn1', 'mate', 'kingsideAttack', 'oneMove']",1029.80419921875,True
"['advancedPawn', 'advantage', 'endgame', 'long', 'quietMove']",2230.0,5k2/2r5/3NP2p/2rR2p1/p5P1/P7/2P5/2K5 w - - 2 39,True,False,False,,,
"['kingsideAttack', 'mate', 'mateIn2', 'middlegame', 'short']",1391.0,r1b1r1k1/p4Rpp/3Bp3/1p2P1nQ/2pn4/3q2P1/8/5R1K w - - 0 26,True,True,False,"['middlegame', 'mateIn2', 'mate', 'kingsideAttack', 'short']",1307.122802734375,True
"['endgame', 'long', 'mate', 'mateIn3', 'sacrifice']",1392.0,3r1rk1/5q2/p6R/2p1Q3/1p2p3/1P2P3/5PPP/5RK1 b - - 1 31,True,True,False,"['endgame', 'mateIn3', 'mate', 'sacrifice', 'long']",1436.666015625,True
"['advantage', 'defensiveMove', 'endgame', 'short', 'trappedPiece']",1133.0,8/4r1r1/1pB2RP1/1Pk4p/5p2/6K1/7P/8 w - - 0 51,True,False,False,,,
"['advantage', 'middlegame', 'short']",1887.0,r1bq1rk1/ppp2pp1/3p3p/5P2/1bB5/3Q4/PP4PP/R1B2R1K w - - 0 17,True,False,False,,,
"['advantage', 'fork', 'long', 'middlegame']",1197.0,1k6/1pp5/p1n4R/2P3B1/2B5/2P2K1p/PP5N/3r1N1r b - - 1 29,True,False,False,,,
"['crushing', 'endgame', 'fork', 'pin', 'short']",1381.0,3k3r/ppq1b2p/3p2p1/3P4/4Q3/8/PP3PPP/3R2K1 w - - 0 35,True,False,True,,,
"['crushing', 'middlegame', 'short']",836.0,N5k1/p4p1p/4p1p1/8/P1b1R1q1/8/5PBP/R1B3K1 b - - 5 23,True,False,False,,,
"['crushing', 'kingsideAttack', 'long', 'middlegame']",2301.0,6k1/3bb2q/3p2p1/r1p1P3/1pP4p/3PQ2P/PB5K/1B3R2 w - - 0 31,True,False,False,,,
"['attackingF2F7', 'mate', 'mateIn1', 'oneMove', 'opening']",920.0,r1bqkb1r/ppp2ppp/3p2n1/4p3/2B1P3/3P1Q2/PPP2PPP/RNB1K2R w KQkq - 2 8,True,True,False,"['opening', 'mateIn1', 'mate', 'attackingF2F7', 'oneMove']",727.2150268554688,True
"['advantage', 'middlegame', 'short']",1162.0,r1r3k1/p4ppp/2q1pn2/2Q5/3P4/1NP3P1/P2N1P1P/R4K1R b - - 1 21,True,False,False,,,
"['advancedPawn', 'crushing', 'endgame', 'promotion', 'rookEndgame', 'veryLong']",2250.0,8/p7/1p1P4/1Pp5/P2kp1pP/2R2rP1/8/3K4 w - - 1 43,True,False,False,,,
"['advantage', 'middlegame', 'short']",1792.0,2r1r1k1/1ppbppbp/p2p1np1/3P4/4PP2/1PN1B2P/P1PQB1P1/3R1RK1 b - - 0 14,True,False,False,,,
"['crushing', 'middlegame', 'short']",2093.0,5rk1/p1p1qppp/8/5b2/1P1pN3/P2PnPP1/1P1Q3P/2KR3R b - - 4 21,True,False,True,,,
"['advantage', 'clearance', 'master', 'middlegame', 'veryLong']",2321.0,b4r1k/4b1pB/p3P3/3pq1N1/1pn3PP/8/PPQ5/1KB4R b - - 0 31,True,False,False,,,
"['crushing', 'endgame', 'short']",1654.0,3R4/ppp4k/8/4r1qp/5p2/2P1pQ1P/PP4P1/6K1 w - - 0 31,True,False,False,,,
"['crushing', 'endgame', 'veryLong']",2226.0,5r2/pp2Rpk1/6p1/2q2p1p/5Q2/P1P3P1/1P1r1P1P/4R1K1 b - - 1 28,True,False,False,,,
"['crushing', 'fork', 'middlegame', 'short']",1068.0,3r4/ppprkppp/5n2/3P4/bP2p3/P1R1PNP1/3RBP1P/4K3 w - - 0 21,True,False,False,,,
"['advantage', 'opening', 'short']",1755.0,r2qkbnr/pp3ppp/2n1p3/2P4b/2B1P3/P4N2/1P2QPPP/RNB1K2R b KQkq - 2 9,True,False,False,,,
"['endgame', 'mate', 'mateIn2', 'queensideAttack', 'short']",1446.0,2kr4/1pp4p/1pBp1q2/4r1p1/Q7/2PR4/PP3PPP/6K1 w - - 0 24,True,True,False,"['endgame', 'mateIn1', 'mate', 'oneMove']",924.4234619140625,False
"['endgame', 'mate', 'mateIn2', 'short']",1127.0,8/2kp4/p1b4b/P1P1p3/1R6/2p2p2/5K2/1R6 w - - 0 45,True,False,False,,,
"['endgame', 'mate', 'mateIn2', 'short']",1164.0,5R2/p1p1r3/1p4pk/3Q2qp/3P1n2/2P5/PP3P2/5K2 w - - 0 37,True,False,False,,,
"['advantage', 'master', 'middlegame', 'short']",1666.0,r3k2r/pp1b1ppp/4pn2/2b5/2Bn4/2N1N3/PP3PPP/R1B2RK1 w kq - 8 12,True,False,False,,,
"['capturingDefender', 'crushing', 'long', 'middlegame']",1185.0,6k1/pb1r2r1/1pp1p3/4P1q1/2Q5/P1PR2P1/5P1P/5RK1 w - - 2 29,True,False,False,,,
"['master', 'mate', 'mateIn1', 'middlegame', 'oneMove']",910.0,3r2k1/6pp/2p5/6q1/4R3/2Q2p2/1B1r1PPP/5RK1 b - - 0 30,True,True,False,"['middlegame', 'mateIn1', 'mate', 'oneMove']",1060.5546875,True
"['advantage', 'master', 'middlegame', 'quietMove', 'short']",2107.0,6k1/1q2rppp/8/pB4Pn/Pp2P3/1P3n1P/1B3PK1/3Q4 w - - 0 39,True,False,False,,,
"['kingsideAttack', 'mate', 'mateIn1', 'middlegame', 'oneMove']",973.0,7k/BPr4p/2pp2r1/N3p3/4P2q/2RQ1P1n/P3BR1P/4K3 b - - 0 34,True,False,False,,,
"['crushing', 'long', 'master', 'middlegame']",2418.0,8/1kq5/p1b1pN2/n6r/P7/3R4/1PQN1PP1/2R3K1 b - - 2 32,True,False,False,,,
"['crushing', 'endgame', 'long', 'quietMove']",2448.0,8/7p/RN3pk1/P4p2/7P/2P2bBK/1P6/3r4 b - - 1 41,True,False,True,,,
"['attraction', 'crushing', 'exposedKing', 'kingsideAttack', 'middlegame', 'pin', 'veryLong']",2567.0,1n3rk1/p1r5/1q2p2p/1P1pP3/3P1N2/b3B2P/6P1/1Q3RK1 w - - 0 28,True,False,False,,,
"['advantage', 'fork', 'middlegame', 'short']",895.0,6k1/3r4/2NN2pp/1Pp1Pp2/5n2/7P/1PBr1PP1/2R3K1 b - - 4 37,True,False,False,,,
"['advantage', 'middlegame', 'short']",2491.0,r5k1/p2nq3/1p4pp/2pR1r2/Q4N1P/P1P1P3/5PP1/5K1R b - - 0 21,True,False,False,,,
"['attackingF2F7', 'mate', 'mateIn2', 'middlegame', 'short']",1001.0,1rbqkbnr/2p2p1p/1p2p1p1/1p1pN3/3P4/4PQ2/PPP2PPP/R4RK1 w k - 0 12,True,True,False,"['middlegame', 'mateIn1', 'mate', 'attackingF2F7', 'oneMove']",873.49462890625,True
"['advantage', 'hangingPiece', 'kingsideAttack', 'middlegame', 'short']",1541.0,7k/6pp/q2p1r2/3b1Pb1/1Q1pN3/BP6/2P3PP/3B1R1K b - - 0 31,True,True,False,"['middlegame', 'mateIn1', 'mate', 'hangingPiece', 'kingsideAttack', 'oneMove']",786.943603515625,True
"['crushing', 'endgame', 'hangingPiece', 'long']",1324.0,8/2R5/pk5p/6p1/1P6/5P1P/6PK/8 b - - 2 55,True,False,False,,,
"['endgame', 'mate', 'mateIn2', 'short']",1060.0,r1b2qk1/1p6/2n1p1PQ/p2pN2p/7P/8/PPP5/1K6 w - - 2 24,True,True,False,"['endgame', 'mateIn1', 'mate', 'oneMove']",992.6993408203125,False
"['crushing', 'deflection', 'fork', 'long', 'opening', 'sacrifice']",2478.0,rn1B1bnr/pp3kpp/3pb3/2pQ4/4P3/5N2/P1P2PPP/RN2K2R w KQ - 6 11,True,False,False,,,
['endgame'],991.0,1k2r3/1pp2ppp/2q2n2/2N5/R1Q5/2PP3P/1P4P1/7K b - - 6 24,True,True,False,"['endgame', 'advantage', 'deflection', 'long']",1703.5999755859375,True
"['advantage', 'master', 'middlegame', 'short']",2214.0,2r2rk1/p2b1p1p/2nbp2P/3p1pN1/3P4/4P3/PP3PP1/R2QKB1R b KQ - 0 16,True,False,False,,,
"['crushing', 'interference', 'middlegame', 'short']",1963.0,r2q1r1k/pp4pp/5p2/3Pp3/n1B5/5PP1/PP3K1P/2QRR3 b - - 0 23,True,False,False,,,
"['advantage', 'enPassant', 'endgame', 'long', 'pawnEndgame', 'quietMove']",2035.0,8/1p6/1p1k2p1/2pP3p/1PPpK3/P6P/6P1/8 w - - 0 39,True,False,False,,,
"['cornerMate', 'mate', 'mateIn2', 'middlegame', 'short']",2080.0,r6r/pppk2pp/2nb4/3Q2N1/6n1/8/PPPP1qPP/RNB4K w - - 0 13,True,False,False,,,
"['advantage', 'fork', 'master', 'middlegame', 'pin', 'short']",2709.0,6k1/1b2q1p1/6rp/ppnp2P1/2p3N1/P1R1PB1Q/r4P1P/3R2K1 w - - 3 36,True,False,False,,,
"['crushing', 'endgame', 'master', 'short']",1166.0,7k/pr4Rp/2p2p2/5q2/2Q5/2P2P2/PP5P/3r2RK w - - 1 40,True,False,False,,,
"['kingsideAttack', 'mate', 'mateIn2', 'opening', 'short']",1074.0,r1b2b1r/p1pp1kpp/2N5/1Bp5/6nq/8/PPPP1PPP/RNBQR1K1 b - - 8 9,True,False,False,,,
"['mate', 'mateIn1', 'middlegame', 'oneMove']",1109.0,2r1k2r/1b1p1p2/ppq5/4PP2/P7/2N5/1PP2Q2/3RRBK1 b k - 0 29,True,False,False,,,
"['mate', 'mateIn1', 'middlegame', 'oneMove']",765.0,r4k1r/1pp1bpp1/p2p4/3PN2q/B3P1n1/2N3B1/PP2QPP1/R2R2K1 b - - 0 15,True,False,False,,,
"['crushing', 'endgame', 'quietMove', 'veryLong']",2111.0,8/p7/8/P4p1p/6bP/1N1p1kP1/4pP2/4K3 w - - 2 51,True,False,True,,,
"['attraction', 'kingsideAttack', 'mate', 'mateIn2', 'middlegame', 'pin', 'sacrifice', 'short']",1724.0,1k6/ppp5/1q1b4/7r/3P2n1/2P1P1B1/PP2RPBr/R1Q3K1 b - - 0 28,True,False,False,,,
"['master', 'mate', 'mateIn1', 'middlegame', 'oneMove']",1108.0,6k1/p5p1/1p1q3p/2b2N2/3p2n1/4nR1P/PPQ3P1/4R2K b - - 0 29,True,True,False,"['middlegame', 'mateIn1', 'mate', 'oneMove']",1064.581787109375,True
"['advancedPawn', 'advantage', 'middlegame', 'pin', 'veryLong']",2729.0,5r1k/7p/1R2p3/P2b1r2/2pPpB2/2P1P1p1/3KBP1q/5QR1 b - - 1 38,True,False,False,,,
"['crushing', 'kingsideAttack', 'long', 'middlegame', 'pin']",1676.0,4r1k1/p4pp1/2b5/4p2p/1P3n2/P3RNqP/1BPP2P1/R2Q2K1 b - - 1 20,True,False,False,,,
"['crushing', 'middlegame', 'short']",2702.0,8/1pp1kp2/3p1p2/8/Q1b5/1NNBq3/1PK2bPP/1R6 b - - 0 24,True,False,False,,,
"['crushing', 'endgame', 'exposedKing', 'fork', 'veryLong']",2067.0,4r1k1/3Q4/p6p/1p1R1ppq/2P5/1P3NK1/P4P1P/7R b - - 1 34,True,True,False,"['endgame', 'mateIn1', 'mate', 'oneMove']",1104.5107421875,False
"['backRankMate', 'mate', 'mateIn4', 'middlegame', 'veryLong']",1560.0,5rk1/1pR5/p3p1pp/4B3/4P1Q1/8/PP1q1BPP/R5K1 b - - 0 24,True,True,False,"['middlegame', 'mateIn3', 'mate', 'backRankMate', 'long']",1085.50634765625,True
"['advantage', 'endgame', 'long']",1943.0,r6r/5k2/p2p3p/1p1N1p2/3b4/6R1/PPP3PP/4R2K w - - 6 23,True,False,False,,,
"['crushing', 'endgame', 'hangingPiece', 'short']",1247.0,8/6bk/2Q4p/1p2Pp1n/3P4/2P1KN2/p2Nq2P/8 w - - 1 43,True,False,False,,,
"['crushing', 'defensiveMove', 'middlegame', 'veryLong']",2699.0,6r1/1p5k/pn1pN2p/2pP1qb1/2P2P2/2N5/PP1Q4/2K3R1 w - - 2 31,True,False,False,,,
"['mate', 'mateIn2', 'middlegame', 'short']",1174.0,3r2k1/1p3p2/6p1/7p/3pQBnP/PN1P2P1/1Pq2PK1/R7 b - - 0 31,True,False,False,,,
"['endgame', 'mate', 'mateIn1', 'oneMove', 'rookEndgame']",1088.0,8/3r4/1k6/pP6/K7/1P6/R7/8 b - - 0 43,True,False,False,,,
"['crushing', 'middlegame', 'short']",1538.0,r3k2r/p1p1nppp/2pN4/3pPb2/5P2/1P2B1P1/P1P4P/R3K2R b KQkq - 2 16,True,False,False,,,
"['advantage', 'fork', 'long', 'middlegame']",1486.0,6r1/ppp1k2p/8/8/3nPr1q/1P6/P1PPQ1PP/R1B4K w - - 3 20,True,False,False,,,
"['advantage', 'defensiveMove', 'endgame', 'veryLong']",2285.0,6k1/1q2bp1p/4pPp1/4P3/3PN3/2bQP3/1p4PP/rR2K3 w - - 1 41,True,False,True,,,
"['advancedPawn', 'crushing', 'deflection', 'exposedKing', 'long', 'middlegame']",1158.0,4r1k1/p1p3r1/8/Np2p3/1P2P2R/2RP1Pq1/P2Q4/5KN1 b - - 1 29,True,True,False,"['middlegame', 'mateIn2', 'mate', 'short']",1323.83154296875,False
"['advantage', 'fork', 'middlegame', 'short']",1090.0,2kr1b1r/ppp2pp1/4p3/3pP3/Pq2b1P1/1P2B2P/KQP2P2/3R1B1R b - - 1 17,True,False,False,,,
"['crushing', 'fork', 'long', 'opening']",1627.0,1n2kb1r/2qb1ppp/2p1pn2/1P1p4/3P4/4PN2/5PPP/1NBQKB1R b Kk - 0 10,True,False,False,,,
"['crushing', 'endgame', 'short']",1539.0,8/6pk/p2p3p/1p2p3/1N3b1Q/1PP2P2/P4KPP/3q4 w - - 3 39,True,False,False,,,
"['advantage', 'endgame', 'fork', 'short']",1029.0,2k5/1p6/p7/8/3Q3P/P3P1K1/1Prn4/8 b - - 0 36,True,False,False,,,
